origen;name;banda1;banda2;banda3;banda4;detalle
cp;1;129.8964372;378.6598435;279.7400396;3061.682206;77
cp;1;247.091179;645.7876234;509.5870438;3649.091576;77
cp;1;228.1466913;646.7393956;441.8579925;4615.399921;77
cp;1;203.3731199;591.336575;387.439613;4360.507039;77
cp;1;147.4225438;436.2260891;292.116749;3605.166556;77
cp;1;120.4668849;347.9496708;219.0274547;3776.02119;77
cp;1;341.2830218;897.0101712;627.7671464;5255.437783;77
cp;1;178.2326503;554.750998;346.4918062;4709.720035;77
cp;1;175.4122035;525.7259519;330.9983246;4439.424599;77
cp;1;110.6347329;398.1321836;226.2695519;4916.214156;77
cp;1;93.70811386;340.7072765;181.3180142;4513.838302;77
cp;1;106.6061785;255.0704921;167.1654301;3544.29379;77
cp;1;287.1700818;696.4784338;488.6323848;5081.858546;77
cp;1;60.32291368;206.6149063;116.4989047;3837.379917;77
cp;1;200.3898114;484.4739075;309.2231496;4601.45266;77
cp;1;117.7729205;343.9631341;211.9415132;3974.240789;77
cp;1;113.4448443;392.349564;228.0935738;4510.998657;77
cp;1;142.2540128;414.8904385;267.9811843;4154.040175;77
cp;1;140.7489545;403.9145309;260.3208349;3662.786899;77
cp;1;138.5214987;380.9537843;267.2607559;3252.213011;77
cp;1;126.3442809;430.5669708;257.6673235;4764.460806;77
cp;1;98.12901955;308.8084636;199.0081742;4341.424357;77
cp;1;174.8308915;546.8710615;369.5083003;4784.082917;77
cp;1;153.0850013;452.0884842;313.603541;3908.812406;77
cp;1;108.9975703;333.9666501;200.3729696;4014.955284;77
cp;1;115.5822411;344.456702;213.3921708;4838.577371;77
cp;1;80.40445897;231.1355052;136.3003913;4768.766793;77
cp;1;97.11523864;230.7614015;143.5077383;4239.885689;77
cp;1;122.0999795;310.9946826;192.4130666;4374.735704;77
cp;1;135.4821771;340.404424;201.2299538;5735.701506;77
cp;1;98.99900702;321.0120292;169.606772;5484.621942;77
cp;1;100.133346;232.6684909;142.9738788;4908.956668;77
cp;1;137.345727;314.8818978;202.225798;4898.599517;77
cp;1;181.4067473;450.6513487;283.4810057;5102.676288;77
cp;1;64.43264624;225.8466552;130.6446372;3985.052699;77
cp;1;186.6829925;371.5489965;254.1656801;5328.251122;77
cp;1;121.3633117;342.0323488;197.0388347;5520.821235;77
cp;1;87.6453594;276.5265463;163.3844541;4748.803521;77
cp;1;148.970692;413.9033509;256.2139034;5172.458198;77
cp;1;94.94614732;300.6402518;170.786723;4597.566929;77
cp;1;111.5377564;313.0297442;190.8974012;4915.282135;77
cp;1;86.34679745;269.3388003;155.6153487;4513.552247;77
cp;1;110.4681699;293.138738;172.1224711;4294.545165;77
cp;1;120.9125256;362.0196109;222.5892319;4489.158804;77
cp;1;86.16034976;287.9992886;160.6401053;5263.408909;77
cp;1;114.2689878;339.1831713;207.4871303;4908.707146;77
cp;1;100.865641;270.7261839;176.1861604;3651.737596;77
cp;1;136.3395005;393.7114129;246.7791185;5074.806356;77
cp;1;80.87473215;267.134502;152.6641417;4574.876515;77
cp;1;92.24136703;248.8361952;151.8611318;4646.480119;77
cp;1;115.14083;306.6697324;201.3228375;3989.287474;77
cp;1;106.282108;331.2066439;202.5517769;4522.384981;77
cp;1;115.7019802;359.9699097;221.5586642;4290.306047;77
cp;1;110.5928105;308.1191183;197.6230552;3477.866087;77
cp;1;102.5191014;301.3332423;183.1198922;4178.216062;77
cp;1;197.9602057;593.3151383;374.1110676;5758.995658;48
cp;1;214.0418233;565.1715383;346.2317688;4404.579334;48
cp;1;158.7570797;526.600516;283.9583541;5224.555694;48
cp;1;132.4598397;355.505422;202.6834187;4316.293512;48
cp;1;187.4118597;545.1041401;322.5131032;5418.742068;48
cp;1;181.6372432;589.5601023;328.4551924;5450.854974;48
cp;1;76.80928623;237.9869881;130.5893776;3719.96975;48
cp;1;158.9722133;394.175927;241.823633;3841.985557;48
cp;1;116.4670282;364.5648193;185.8259723;5052.90034;48
cp;1;133.6595052;371.5331555;207.2797334;4797.858911;48
cp;1;158.8833117;439.0573351;263.1569273;4043.800307;48
cp;1;141.5601588;428.5081411;254.8645463;3975.88715;48
cp;1;142.4402072;395.1151379;229.7354963;3934.756217;48
cp;1;123.1247143;373.5041912;218.797912;3725.656992;48
cp;1;110.0468045;262.0733734;167.4367723;2753.607288;48
cp;1;111.6116561;301.1963927;184.7722256;2487.911697;48
cp;1;148.4637032;453.1506401;258.7491192;4102.626833;48
cp;1;136.2196928;302.0935372;196.570118;2862.96606;48
cp;1;132.2704141;331.0368514;199.1328268;3756.615309;48
cp;1;198.1953874;407.7520343;297.4793895;2757.180854;48
cp;1;158.5128065;509.5915477;293.2166793;4157.289048;48
cp;1;100.4590015;293.8745535;172.7595743;2889.618714;48
cp;1;149.9509086;435.6706323;259.985422;3521.135528;48
cp;1;184.0076155;433.5480439;292.5741587;2392.306592;48
cp;1;178.2078698;495.3536583;310.4029734;4211.503247;48
cp;1;170.8788879;428.949045;265.1488979;3766.149514;48
cp;1;186.7439476;540.6381855;325.4606203;4933.134584;48
cp;1;144.0357004;392.9909472;241.3359178;4445.203002;48
cp;1;71.90598156;186.5714127;107.919633;3396.856896;48
cp;1;113.1671893;271.2068138;169.8875993;2946.780213;48
cp;1;87.60485184;233.4054027;129.8560472;4059.866725;48
cp;1;162.9888971;385.3438942;288.2988474;2485.894814;48
cp;1;229.1843488;440.876075;421.2004601;1904.553135;48
cp;1;206.0929025;534.0683368;379.1552529;3468.416976;48
cp;1;114.6727806;342.0733517;215.6010885;3398.76979;48
cp;1;154.3660517;412.7201618;262.3591582;4167.809966;48
cp;1;132.0181198;341.6444365;198.3751514;4832.340764;48
cp;1;108.7183521;303.7668442;171.3035635;4091.104359;48
cp;1;119.0941766;325.8694373;209.2979127;2912.739594;48
cp;1;366.6634386;740.2165259;754.340601;3233.573373;116
cp;1;583.6177833;1167.304955;1364.302629;4054.924789;116
cp;1;332.9946407;746.0377976;805.6062421;2870.586264;116
cp;1;663.961811;1277.647105;1553.503832;3990.839601;116
cp;1;525.5081925;1078.01364;1187.628204;3644.321121;116
cp;1;475.3048008;997.435039;1140.530195;3380.084228;116
cp;1;558.7750304;1122.65903;1366.508027;3761.083835;116
cp;1;419.4482274;923.2227264;1051.095721;3576.197579;116
cp;1;382.8265854;830.6606449;859.1228474;3772.922954;116
cp;1;392.3340741;855.7800933;836.1476159;4276.099483;116
cp;1;311.4174745;682.9085116;751.1985329;2917.328076;116
cp;1;590.8626415;1258.739421;1394.785908;4224.914862;116
cp;1;375.2153855;771.5195734;842.5350656;2987.63349;116
cp;1;638.9120458;1256.403381;1500.901574;4059.029417;116
cp;1;382.1124159;857.8088781;931.7491633;3770.532192;116
cp;1;440.8538085;937.5387343;1047.638321;3241.925039;116
cp;1;412.2732441;886.8763678;965.9185983;3378.63562;116
cp;1;615.4402372;1191.572348;1344.610461;4069.420234;116
cp;1;486.7920057;967.7942312;1092.424188;3038.836432;116
cp;1;459.9547822;1008.450162;1139.342656;3604.018024;116
cp;1;603.3631431;1226.864707;1391.596923;3869.305216;116
cp;1;552.0340996;1126.352969;1250.045554;3709.106751;116
cp;1;372.0966117;758.559703;824.7799243;2836.07441;116
cp;1;309.8463686;674.7298196;713.0080097;2735.307893;116
cp;1;402.4131284;772.9531589;867.1702258;2561.721134;116
cp;1;525.8263982;1003.926419;1131.203227;3470.224959;116
cp;1;591.2822049;1138.91953;1296.558514;3455.74831;116
cp;1;468.5917385;920.4022058;1043.539156;2934.743691;116
cp;1;327.4530037;633.1269807;742.7491907;2193.410969;116
cp;1;366.3624626;713.064709;840.6125153;2568.599876;116
cp;1;373.6012785;735.1352096;816.6485437;2614.795575;116
cp;1;664.8615171;1131.609049;1418.530653;3512.257196;116
cp;1;473.2544137;907.9084506;1020.977992;3215.578484;116
cp;1;544.2662774;983.4552748;1195.881432;2953.259513;116
cp;1;377.1976012;751.117638;813.6961745;2639.008723;116
cp;1;542.8289052;1047.173856;1209.455416;3210.165283;116
cp;1;550.4672206;1068.1669;1202.411881;3645.322467;116
cp;1;333.5190714;703.4878642;722.509257;2873.638491;116
cp;1;346.022805;724.1719292;692.1491256;2634.209224;116
cp;1;503.2502185;970.5907473;1063.799363;3005.414073;116
cp;1;597.1196385;1154.461785;1276.201164;3400.552423;116
cp;1;483.271678;891.7393353;1066.442279;2830.796694;116
cp;1;310.1666803;638.8024635;727.939276;2569.396682;116
cp;1;461.1626545;918.9102514;1034.047766;3408.699489;116
cp;1;455.638994;908.3738331;1023.770413;3077.11757;116
cp;1;434.1506093;810.045284;972.7128889;2513.316439;116
cp;1;389.1746856;788.0683004;884.1605198;2917.056682;116
cp;1;318.4334716;729.5779128;605.7635566;3772.912113;85
cp;1;260.8166269;639.3672858;518.216402;4219.811663;85
cp;1;228.5245547;609.4148436;484.791824;3593.385262;85
cp;1;209.0568795;541.7260911;425.0770985;3390.083749;85
cp;1;216.6916672;516.6283019;441.3576386;3576.926361;85
cp;1;234.0824124;560.0867908;475.8411965;3487.264403;85
cp;1;170.280568;430.5840348;326.056747;3640.084158;85
cp;1;191.2299073;476.8673738;386.6283853;3463.441211;85
cp;1;267.14592;600.7860756;504.8803886;3350.868106;85
cp;1;333.0164267;738.9921011;573.8812458;5265.302687;85
cp;1;321.4148091;690.7039993;540.2578133;4817.88977;85
cp;1;137.9575975;344.3890341;222.8267423;4643.679458;85
cp;1;370.0200969;720.0395858;476.0741804;5518.027041;85
cp;1;208.2361296;510.4016582;288.6703792;4085.129594;85
cp;1;453.5522158;774.2186841;537.7818571;5025.918691;85
cp;1;194.7528335;478.8749239;368.3174907;3822.797623;85
cp;1;188.410114;428.7762987;321.5009241;4220.002839;85
cp;1;230.8955636;538.8819801;408.1114518;3957.702148;85
cp;1;305.0143113;674.6212669;529.2096511;4416.817707;85
cp;1;242.0416476;533.8301332;433.5600207;3832.15639;85
cp;1;215.9012275;459.156259;379.9685109;3778.18168;85
cp;1;234.1170531;555.7553381;449.6139856;4319.162139;85
cp;1;244.7639452;580.7645477;447.6781142;4921.220783;85
cp;1;332.5078076;720.3350573;616.8580264;4071.014181;85
cp;1;693.8874479;1392.91992;1256.620931;4963.13857;97
cp;1;276.0441944;661.0627632;603.7750479;3163.741425;97
cp;1;440.6942948;955.8259179;864.7422251;3898.062879;97
