origen;name;banda1;banda2;banda3;banda4;detalle
sa;1;529;635;563;3564;50
sa;1;547;644;593;3555;50
sa;1;519;663;593;3577;50
sa;1;521;644;563;3585;50
sa;1;479;617;528;3654;50
sa;1;492;630;550;3582;50
sa;1;494;631;538;3486;50
sa;1;532;657;572;3421;50
sa;1;546;673;577;3396;50
sa;1;518;644;545;3362;50
sa;1;568;683;604;3142;50
sa;1;553;687;614;3029;50
sa;1;538;678;600;3128;50
sa;1;548;665;595;3440;50
sa;1;521;649;569;3513;50
sa;1;516;652;570;3469;50
sa;1;512;650;563;3507;50
sa;1;500;636;545;3535;50
sa;1;488;628;528;3670;50
sa;1;489;626;526;3588;50
sa;1;538;646;551;3455;50
sa;1;513;628;569;3393;50
sa;1;518;644;571;3225;50
sa;1;513;650;552;3318;50
sa;1;551;672;586;3300;50
sa;1;512;653;557;3270;50
sa;1;544;660;587;3273;50
sa;1;539;658;580;3271;50
sa;1;519;647;564;3258;50
sa;1;512;642;569;3261;50
sa;1;522;663;600;3336;50
sa;1;534;676;608;3216;50
sa;1;559;700;627;3325;50
sa;1;562;706;647;3360;50
sa;1;528;685;624;3285;50
sa;1;479;653;571;3257;50
sa;1;492;655;588;3378;50
sa;1;546;660;592;3292;50
sa;1;596;709;630;3177;50
sa;1;589;721;641;3153;50
sa;1;621;730;669;3141;50
sa;1;620;725;651;3054;50
sa;1;568;678;619;3032;50
sa;1;513;636;584;3114;50
sa;1;538;635;584;2889;50
sa;1;516;631;559;2934;50
sa;1;559;682;617;3044;50
sa;1;591;736;667;3016;50
sa;1;605;733;678;3004;50
sa;1;626;759;722;2877;50
sa;1;538;652;562;3197;50
sa;1;538;633;552;3398;50
sa;1;541;647;557;3368;50
sa;1;533;656;580;3320;50
sa;1;523;650;587;3493;50
sa;1;529;658;592;3667;50
sa;1;531;646;575;3726;50
sa;1;547;651;589;3787;50
sa;1;561;656;596;3838;50
sa;1;552;656;582;3920;50
sa;1;536;653;564;3873;50
sa;1;541;657;571;3687;50
sa;1;523;642;556;3833;50
sa;1;529;641;545;3748;50
sa;1;544;652;569;3499;50
sa;1;519;642;558;3519;50
sa;1;536;661;586;3484;50
sa;1;508;629;560;3552;50
sa;1;553;658;575;3459;50
sa;1;559;674;577;3411;50
sa;1;589;694;607;3361;50
sa;1;557;666;586;3406;50
sa;1;521;649;582;3483;50
sa;1;527;636;580;3443;50
sa;1;507;623;530;3395;50
sa;1;527;649;556;3397;50
sa;1;518;653;557;3307;50
sa;1;522;656;562;3286;50
sa;1;536;663;576;3237;50
sa;1;516;652;559;3220;50
sa;1;518;663;560;3236;50
sa;1;502;651;548;3391;50
sa;1;539;660;568;3393;50
sa;1;521;655;574;3297;50
sa;1;500;636;570;3194;50
sa;1;498;631;563;3184;50
sa;1;539;629;566;3042;50
sa;1;537;649;568;2932;50
sa;1;497;633;540;2886;50
sa;1;517;649;592;3133;50
sa;1;523;655;606;3200;50
sa;1;534;650;614;2975;50
sa;1;537;649;599;2892;50
sa;1;549;668;606;2888;50
sa;1;536;665;598;2903;50
sa;1;505;658;583;3067;50
sa;1;507;655;582;2927;50
sa;1;536;661;578;3140;50
sa;1;556;639;568;3194;50
sa;1;578;658;587;3127;50
sa;1;556;658;562;3081;50
sa;1;528;629;524;3148;50
sa;1;507;607;518;3003;50
sa;1;521;641;562;2966;50
sa;1;507;630;560;3028;50
sa;1;512;631;556;3005;50
sa;1;517;617;529;2872;50
sa;1;517;610;528;2845;50
sa;1;499;613;529;2912;50
sa;1;484;614;536;2875;50
sa;1;480;623;545;2810;50
sa;1;510;629;547;2933;50
sa;1;499;630;576;2986;50
sa;1;498;629;548;2944;50
sa;1;495;628;530;2891;50
sa;1;487;607;550;2716;50
sa;1;503;597;509;2809;50
sa;1;499;594;503;2886;50
sa;1;488;596;504;2845;50
sa;1;470;602;534;2842;50
sa;1;475;605;541;3024;50
sa;1;484;612;550;2962;50
sa;1;472;594;528;3022;50
sa;1;489;603;540;2928;50
sa;1;499;607;546;2923;50
sa;1;541;636;565;2744;50
sa;1;510;618;536;2847;50
sa;1;424;577;486;3178;50
sa;1;430;588;486;3152;50
sa;1;467;596;493;3173;50
sa;1;490;646;592;3484;84
sa;1;444;619;580;3462;84
sa;1;413;609;606;3457;84
sa;1;368;591;548;3539;84
sa;1;353;585;535;3489;84
sa;1;402;576;515;3480;84
sa;1;430;606;565;3373;84
sa;1;435;611;569;3335;84
sa;1;446;642;597;3272;84
sa;1;432;636;616;3406;84
sa;1;464;664;637;3431;84
sa;1;475;648;601;3552;84
sa;1;461;649;593;3638;84
sa;1;407;631;596;3612;84
sa;1;409;606;587;3665;84
sa;1;419;609;583;3720;84
sa;1;427;612;573;3678;84
sa;1;433;619;562;3705;84
sa;1;432;622;563;3596;84
sa;1;432;618;583;3607;84
sa;1;430;611;573;3666;84
sa;1;456;622;559;3467;84
sa;1;458;643;606;3378;84
sa;1;463;658;628;3399;84
sa;1;407;584;524;3535;84
sa;1;404;578;524;3757;84
sa;1;410;593;538;3848;84
sa;1;405;578;516;3981;84
sa;1;402;569;524;3951;84
sa;1;375;560;491;3916;84
sa;1;405;584;528;3874;84
sa;1;410;572;525;3847;84
sa;1;398;572;538;3834;84
sa;1;436;611;546;3797;84
sa;1;446;609;542;3704;84
sa;1;459;618;555;3768;84
sa;1;415;597;535;3829;84
sa;1;370;541;498;3960;84
sa;1;385;557;502;3995;84
sa;1;387;552;498;3953;84
sa;1;404;569;519;3891;84
sa;1;404;561;509;3871;84
sa;1;379;548;491;3745;84
sa;1;382;515;485;3938;84
sa;1;364;518;464;3937;84
sa;1;358;523;463;3939;84
sa;1;376;536;480;3929;84
sa;1;412;544;499;3832;84
sa;1;441;563;529;3719;84
sa;1;446;613;565;3583;84
sa;1;422;612;563;3741;84
sa;1;447;599;548;3606;84
sa;1;436;599;528;3646;84
sa;1;475;615;549;3727;84
sa;1;450;597;545;3775;84
sa;1;402;561;516;3891;84
sa;1;427;588;545;3697;84
sa;1;426;593;526;3677;84
sa;1;410;587;509;3734;84
sa;1;427;582;512;3745;84
sa;1;375;530;471;3731;84
sa;1;407;555;502;3848;84
sa;1;384;541;480;3781;84
sa;1;390;567;512;3724;84
sa;1;402;581;521;3517;84
sa;1;429;587;546;3515;84
sa;1;413;584;536;3682;84
sa;1;393;564;529;3663;84
sa;1;385;542;499;3553;84
sa;1;396;557;516;3470;84
sa;1;365;547;495;3453;84
sa;1;407;576;512;3489;84
sa;1;409;563;522;3381;84
sa;1;398;567;546;3257;84
sa;1;401;593;580;3244;84
sa;1;444;625;582;3276;84
sa;1;442;609;573;3245;84
sa;1;421;590;553;3178;84
sa;1;429;602;562;3127;84
sa;1;438;596;566;3136;84
sa;1;433;594;555;3244;84
sa;1;412;590;529;3334;84
sa;1;413;603;545;3281;84
sa;1;405;594;550;3231;84
sa;1;418;590;565;3184;84
sa;1;418;587;563;3224;84
sa;1;396;557;538;3254;84
sa;1;390;584;524;3098;84
sa;1;392;582;522;3057;84
sa;1;398;575;533;3069;84
sa;1;412;584;545;3091;84
sa;1;402;578;539;3040;84
sa;1;450;615;567;3062;84
sa;1;441;608;560;3083;84
sa;1;430;591;555;3078;84
sa;1;449;596;556;3192;84
sa;1;422;594;541;3241;84
sa;1;375;564;524;3238;84
sa;1;375;547;492;3153;84
sa;1;399;552;512;3180;84
sa;1;393;557;512;3172;84
sa;1;384;567;511;3185;84
sa;1;402;585;550;3322;84
sa;1;433;591;579;3238;84
sa;1;433;600;570;3190;84
sa;1;426;597;550;3171;84
sa;1;375;548;499;3211;84
sa;1;371;549;494;3262;84
sa;1;419;603;541;3245;84
sa;1;432;593;543;3192;84
sa;1;370;570;522;3154;84
sa;1;398;584;556;3200;84
sa;1;393;575;552;3146;84
sa;1;430;581;582;3100;84
sa;1;427;585;565;3149;84
sa;1;430;594;532;3264;84
sa;1;382;564;499;3202;84
sa;1;371;563;504;3157;84
sa;1;365;541;509;3119;84
sa;1;375;563;519;3356;84
sa;1;384;560;526;3551;84
sa;1;390;558;521;3524;84
sa;1;421;582;549;3476;84
sa;1;404;578;521;3517;84
sa;1;412;576;518;3583;84
sa;1;354;551;470;3547;84
sa;1;396;579;511;3333;84
sa;1;427;596;555;3341;84
sa;1;421;593;560;3347;84
sa;1;399;600;548;3508;84
