origen;name;banda1;banda2;banda3;banda4;detalle
sa;2;678;709;700;1400;bosque
sa;2;883;1014;1035;3173;bosque
sa;2;827;909;899;2084;bosque
sa;2;1045;1178;1157;3987;bosque
sa;2;1061;1214;1179;4282;bosque
sa;2;1101;1257;1205;4233;bosque
sa;2;1181;1297;1265;3429;bosque
sa;2;1087;1179;1148;3561;bosque
sa;2;1187;1317;1327;3369;bosque
sa;2;2491;2637;2655;3931;bosque
sa;2;1889;2105;2349;3933;camino
sa;2;2062;2253;2346;4072;camino
sa;2;2096;2229;2288;4073;camino
sa;2;1800;1966;2063;4113;camino
sa;2;1937;2097;2332;4022;camino
sa;2;2001;2080;2260;3898;camino
sa;2;1739;1889;2049;3749;camino
sa;2;1781;1941;2124;3723;camino
sa;2;1879;2013;2173;4069;camino
sa;2;1685;1821;1905;4112;camino
sa;2;1025;1174;1328;2862;grama
sa;2;1116;1339;1535;1869;grama
sa;2;1041;1200;1328;2581;grama
sa;2;1292;1492;1716;2851;potrero
sa;2;1382;1615;1938;3381;potrero
sa;2;1420;1655;1963;3529;potrero
sa;2;1179;1507;1550;4350;plantadelago
sa;2;1262;1569;1646;4424;plantadelago
sa;2;1626;1858;1985;1554;lago1
sa;2;925;1058;1071;1878;lago2
sa;2;818;931;948;1399;lago2
sa;2;1181;1375;1588;3239;cultivoD
sa;2;979;1158;1255;3112;cultivoD
sa;2;1128;1292;1476;3175;cultivoD
sa;2;1127;1300;1460;2965;cultivoD
sa;2;428;536;486;3187;bosque
sa;2;512;610;521;3548;bosque
sa;2;483;591;499;3376;bosque
sa;2;417;501;460;2598;bosque
sa;2;428;532;479;2725;bosque
sa;2;416;514;472;2634;bosque
sa;2;428;508;452;2974;bosque
sa;2;1382;1508;1648;3186;camino
sa;2;1380;1462;1580;2956;camino
sa;2;1248;1454;1622;2911;camino
sa;2;1371;1415;1485;3308;camino
sa;2;1362;1520;1733;3258;camino
sa;2;1219;1387;1527;3353;camino
sa;2;1091;1193;1282;3438;camino
sa;2;1041;1175;1237;3550;camino
sa;2;1158;1271;1344;2862;camino
sa;2;1029;1094;1160;2504;camino
sa;2;493;634;647;2973;bosque
sa;2;556;692;743;3076;bosque
sa;2;456;555;570;2529;bosque
sa;2;463;569;558;3202;bosque
sa;2;492;630;582;3291;bosque
sa;2;490;611;621;3413;bosque
sa;2;492;642;645;2664;bosque
sa;2;455;557;567;2832;bosque
sa;2;487;625;634;2797;bosque
sa;2;413;548;531;3053;bosque
sa;2;1322;1537;1681;3410;camino
sa;2;1411;1558;1703;3269;camino
sa;2;1056;1260;1333;3034;camino
sa;2;1245;1396;1528;3476;camino
sa;2;1377;1511;1607;3342;camino
sa;2;1365;1524;1671;3213;camino
sa;2;1244;1372;1528;3272;camino
sa;2;1277;1419;1550;3190;camino
sa;2;1229;1354;1452;3266;camino
sa;2;965;1160;1229;3362;camino
sa;2;699;883;1012;3166;grama
sa;2;835;1124;1258;3873;grama
sa;2;719;892;1040;2741;grama
sa;2;1078;1298;1556;3170;potrero
sa;2;1042;1292;1522;3284;potrero
sa;2;1197;1390;1695;3281;potrero
sa;2;891;1295;1309;4522;plantadelago
sa;2;956;1393;1401;4753;plantadelago
sa;2;1106;1376;1433;847;lago1
sa;2;384;467;507;1018;lago2
sa;2;401;487;511;909;lago2
sa;2;906;1099;1297;2986;cultivoD
sa;2;798;985;1164;2854;cultivoD
sa;2;854;1036;1237;2841;cultivoD
sa;2;798;1002;1198;2802;cultivoD
sa;2;686;770;793;2764;bosque
sa;2;686;809;821;2795;bosque
sa;2;662;754;752;2096;bosque
sa;2;710;775;783;2877;bosque
sa;2;686;822;778;3117;bosque
sa;2;704;809;790;3115;bosque
sa;2;688;796;787;2517;bosque
sa;2;669;745;722;2599;bosque
sa;2;719;797;783;2454;bosque
sa;2;649;736;669;2809;bosque
sa;2;1273;1443;1604;2961;camino
sa;2;1309;1399;1487;2866;camino
sa;2;1148;1287;1426;2912;camino
sa;2;1159;1313;1375;3210;camino
sa;2;1279;1452;1573;3086;camino
sa;2;1299;1413;1543;3127;camino
sa;2;1145;1280;1375;3129;camino
sa;2;1153;1301;1421;3107;camino
sa;2;1125;1271;1376;2958;camino
sa;2;981;1123;1178;2958;camino
sa;2;871;1016;1131;2892;grama
sa;2;982;1187;1344;3512;grama
sa;2;861;1005;1123;2543;grama
sa;2;1126;1290;1502;3055;potrero
sa;2;1109;1298;1543;3140;potrero
sa;2;1167;1357;1628;3199;potrero
